Answer.7,Input.var_arrays
0,"[{""wl"": [""далее"", ""северный"", ""центральный"", ""восточный"", ""западный"", ""южный""], ""id"": 7, ""wl_id"": ""16""}]"
4,"[{""wl"": [""друг"", ""альфред"", ""пгт"", ""посол"", ""одновременно"", ""узбекистан""], ""id"": 7, ""wl_id"": ""17""}]"
3,"[{""wl"": [""юге"", ""проекту"", ""построен"", ""фридрих"", ""мост"", ""марк""], ""id"": 7, ""wl_id"": ""18""}]"
3,"[{""wl"": [""мужской"", ""ряд"", ""женский"", ""зона"", ""исторический"", ""венгерский""], ""id"": 7, ""wl_id"": ""19""}]"
0,"[{""wl"": [""климат"", ""колумбия"", ""канада"", ""канадский"", ""сообщество"", ""мексика""], ""id"": 7, ""wl_id"": ""20""}]"
5,"[{""wl"": [""штат"", ""уезд"", ""губернии"", ""уезда"", ""единица"", ""иван""], ""id"": 7, ""wl_id"": ""21""}]"
0,"[{""wl"": [""бразилия"", ""построить"", ""линия"", ""станция"", ""железнодорожный"", ""штат""], ""id"": 7, ""wl_id"": ""22""}]"
1,"[{""wl"": [""трёх"", ""форма"", ""мощность"", ""общий"", ""информация"", ""четырёх""], ""id"": 7, ""wl_id"": ""23""}]"
3,"[{""wl"": [""национального"", ""парк"", ""создан"", ""индии"", ""сложные"", ""национальный""], ""id"": 7, ""wl_id"": ""24""}]"
0,"[{""wl"": [""белок"", ""железнодорожная"", ""станции"", ""станция"", ""дороги"", ""линии""], ""id"": 7, ""wl_id"": ""25""}]"
0,"[{""wl"": [""крепость"", ""др"", ""участие"", ""происходить"", ""значительный"", ""принимать""], ""id"": 7, ""wl_id"": ""26""}]"
3,"[{""wl"": [""связь"", ""месторождение"", ""миллион"", ""возраст"", ""горный"", ""север""], ""id"": 7, ""wl_id"": ""27""}]"
3,"[{""wl"": [""плотность"", ""регион"", ""коммуна"", ""италия"", ""лес"", ""располагаться""], ""id"": 7, ""wl_id"": ""28""}]"
4,"[{""wl"": [""ни"", ""крупный"", ""стороны"", ""русского"", ""кратер"", ""происхождение""], ""id"": 7, ""wl_id"": ""29""}]"
5,"[{""wl"": [""наталья"", ""иосиф"", ""константин"", ""алексей"", ""андрей"", ""другом""], ""id"": 7, ""wl_id"": ""30""}]"
2,"[{""wl"": [""чемпионат"", ""чемпион"", ""книга"", ""мир"", ""игра"", ""олимпийский""], ""id"": 7, ""wl_id"": ""31""}]"
4,"[{""wl"": [""сделать"", ""аппарат"", ""перевод"", ""космический"", ""традиционный"", ""спутник""], ""id"": 7, ""wl_id"": ""32""}]"
5,"[{""wl"": [""юг"", ""география"", ""приблизительно"", ""югу"", ""парижа"", ""начал""], ""id"": 7, ""wl_id"": ""33""}]"
2,"[{""wl"": [""сложные"", ""группах"", ""ранее"", ""короткие"", ""студент"", ""организацию""], ""id"": 7, ""wl_id"": ""34""}]"
4,"[{""wl"": [""язык"", ""большинство"", ""группа"", ""диалект"", ""друг"", ""основное""], ""id"": 7, ""wl_id"": ""35""}]"
4,"[{""wl"": [""поселения"", ""группа"", ""районного"", ""сельского"", ""образования"", ""расстояние""], ""id"": 7, ""wl_id"": ""36""}]"
4,"[{""wl"": [""основать"", ""деятельность"", ""организация"", ""университет"", ""японский"", ""становиться""], ""id"": 7, ""wl_id"": ""37""}]"
5,"[{""wl"": [""режиссёр"", ""премьера"", ""главной"", ""состоялась"", ""сюжет"", ""образование""], ""id"": 7, ""wl_id"": ""38""}]"
5,"[{""wl"": [""норвежский"", ""норвегия"", ""губерния"", ""швеция"", ""фонд"", ""четырёх""], ""id"": 7, ""wl_id"": ""39""}]"
4,"[{""wl"": [""полузащитник"", ""клубная"", ""оружия"", ""защитник"", ""футболист"", ""карьера""], ""id"": 7, ""wl_id"": ""40""}]"
4,"[{""wl"": [""рода"", ""род"", ""семейства"", ""см"", ""берегу"", ""описание""], ""id"": 7, ""wl_id"": ""41""}]"
4,"[{""wl"": [""представляют"", ""интерес"", ""вообще"", ""исполнение"", ""биологических"", ""агломерация""], ""id"": 7, ""wl_id"": ""42""}]"
4,"[{""wl"": [""населённый"", ""включать"", ""единственный"", ""пункт"", ""православный"", ""населённых""], ""id"": 7, ""wl_id"": ""43""}]"
0,"[{""wl"": [""рыба"", ""генрих"", ""королевский"", ""политика"", ""внешний"", ""восточный""], ""id"": 7, ""wl_id"": ""44""}]"
5,"[{""wl"": [""страны"", ""серия"", ""течение"", ""отношения"", ""мария"", ""считается""], ""id"": 7, ""wl_id"": ""45""}]"
5,"[{""wl"": [""исследование"", ""метод"", ""действие"", ""направление"", ""средство"", ""через""], ""id"": 7, ""wl_id"": ""46""}]"
2,"[{""wl"": [""системы"", ""компании"", ""переписи"", ""компания"", ""система"", ""создания""], ""id"": 7, ""wl_id"": ""47""}]"
2,"[{""wl"": [""результат"", ""структура"", ""поселение"", ""важный"", ""процесс"", ""клетка""], ""id"": 7, ""wl_id"": ""48""}]"
0,"[{""wl"": [""еврейский"", ""многий"", ""автор"", ""текст"", ""книга"", ""писательница""], ""id"": 7, ""wl_id"": ""49""}]"
2,"[{""wl"": [""адольф"", ""пройти"", ""комплекс"", ""нём"", ""генри"", ""сельский""], ""id"": 7, ""wl_id"": ""50""}]"
5,"[{""wl"": [""музыкальный"", ""альбом"", ""песня"", ""the"", ""группа"", ""писатель""], ""id"": 7, ""wl_id"": ""51""}]"
1,"[{""wl"": [""взять"", ""дважды"", ""монета"", ""технический"", ""будущий"", ""физика""], ""id"": 7, ""wl_id"": ""52""}]"
2,"[{""wl"": [""ядра"", ""синтеза"", ""франческо"", ""согласные"", ""энергии"", ""отношения""], ""id"": 7, ""wl_id"": ""53""}]"
1,"[{""wl"": [""футбольный"", ""японии"", ""клуба"", ""начал"", ""клуб"", ""основан""], ""id"": 7, ""wl_id"": ""54""}]"
5,"[{""wl"": [""корабль"", ""служить"", ""флот"", ""общество"", ""морской"", ""немецкий""], ""id"": 7, ""wl_id"": ""55""}]"
3,"[{""wl"": [""сооружение"", ""водохранилище"", ""сведение"", ""кроме"", ""канал"", ""план""], ""id"": 7, ""wl_id"": ""56""}]"
3,"[{""wl"": [""главный"", ""назвать"", ""открыть"", ""австрия"", ""клетка"", ""честь""], ""id"": 7, ""wl_id"": ""57""}]"
4,"[{""wl"": [""марта"", ""жизни"", ""июня"", ""группу"", ""епископ"", ""февраля""], ""id"": 7, ""wl_id"": ""58""}]"
4,"[{""wl"": [""актриса"", ""сюжет"", ""фильм"", ""театр"", ""хозяйство"", ""актёр""], ""id"": 7, ""wl_id"": ""59""}]"
3,"[{""wl"": [""советский"", ""военный"", ""великий"", ""спутник"", ""армия"", ""война""], ""id"": 7, ""wl_id"": ""60""}]"
1,"[{""wl"": [""медицины"", ""эдвард"", ""ибн"", ""фильмов"", ""испанская"", ""задача""], ""id"": 7, ""wl_id"": ""61""}]"
3,"[{""wl"": [""фон"", ""иоганн"", ""карл"", ""дороги"", ""германия"", ""немецкий""], ""id"": 7, ""wl_id"": ""62""}]"
2,"[{""wl"": [""поселения"", ""сельского"", ""берегу"", ""деревня"", ""страны"", ""география""], ""id"": 7, ""wl_id"": ""63""}]"
2,"[{""wl"": [""соединений"", ""экономики"", ""b"", ""автономного"", ""химии"", ""химических""], ""id"": 7, ""wl_id"": ""64""}]"
5,"[{""wl"": [""день"", ""последний"", ""носить"", ""народный"", ""течение"", ""муниципальный""], ""id"": 7, ""wl_id"": ""65""}]"
1,"[{""wl"": [""городского"", ""сложные"", ""типа"", ""посёлок"", ""пунктов"", ""населённых""], ""id"": 7, ""wl_id"": ""66""}]"
1,"[{""wl"": [""тысяч"", ""им"", ""монастырь"", ""три"", ""главный"", ""комплекс""], ""id"": 7, ""wl_id"": ""67""}]"
2,"[{""wl"": [""длина"", ""берегу"", ""джон"", ""водного"", ""протекает"", ""реестра""], ""id"": 7, ""wl_id"": ""68""}]"
2,"[{""wl"": [""становиться"", ""взять"", ""украина"", ""даже"", ""достаточно"", ""раз""], ""id"": 7, ""wl_id"": ""69""}]"
3,"[{""wl"": [""певица"", ""певец"", ""опера"", ""писательница"", ""конкурс"", ""произойти""], ""id"": 7, ""wl_id"": ""70""}]"
5,"[{""wl"": [""джон"", ""парижа"", ""аул"", ""северо-западе"", ""юго-западе"", ""бывший""], ""id"": 7, ""wl_id"": ""71""}]"
4,"[{""wl"": [""канала"", ""телевидения"", ""канал"", ""радио"", ""отдельное"", ""ведущий""], ""id"": 7, ""wl_id"": ""72""}]"
4,"[{""wl"": [""российской"", ""село"", ""данным"", ""переписи"", ""округа"", ""язык""], ""id"": 7, ""wl_id"": ""73""}]"
0,"[{""wl"": [""правило"", ""обычно"", ""иногда"", ""часто"", ""большинство"", ""форма""], ""id"": 7, ""wl_id"": ""74""}]"
3,"[{""wl"": [""семей"", ""н"", ""сорт"", ""винограда"", ""занимается"", ""обозначать""], ""id"": 7, ""wl_id"": ""75""}]"
1,"[{""wl"": [""поселение"", ""располагаться"", ""сельсовет"", ""сельский"", ""край"", ""районный""], ""id"": 7, ""wl_id"": ""76""}]"
4,"[{""wl"": [""семье"", ""джеймс"", ""французский"", ""род"", ""учился"", ""писатель""], ""id"": 7, ""wl_id"": ""77""}]"
2,"[{""wl"": [""численность"", ""сведения"", ""эдвард"", ""общие"", ""переписи"", ""всероссийской""], ""id"": 7, ""wl_id"": ""78""}]"
4,"[{""wl"": [""проживать"", ""перепись"", ""казахстан"", ""обозначение"", ""мужчина"", ""городской""], ""id"": 7, ""wl_id"": ""79""}]"
0,"[{""wl"": [""португалии"", ""пункт"", ""населённый"", ""городской"", ""относится"", ""муниципалитета""], ""id"": 7, ""wl_id"": ""80""}]"
3,"[{""wl"": [""поселения"", ""комплекс"", ""поселение"", ""образование"", ""муниципальное"", ""сельское""], ""id"": 7, ""wl_id"": ""81""}]"
4,"[{""wl"": [""одноимённой"", ""лишь"", ""членов"", ""созданный"", ""японский"", ""всего""], ""id"": 7, ""wl_id"": ""82""}]"
4,"[{""wl"": [""первой"", ""лодка"", ""война"", ""мировой"", ""кроме"", ""немецкий""], ""id"": 7, ""wl_id"": ""83""}]"
5,"[{""wl"": [""располагается"", ""образует"", ""плотность"", ""индекс"", ""провинции"", ""италии""], ""id"": 7, ""wl_id"": ""84""}]"
1,"[{""wl"": [""лесной"", ""база"", ""лес"", ""природный"", ""массив"", ""решение""], ""id"": 7, ""wl_id"": ""85""}]"
1,"[{""wl"": [""деревня"", ""химических"", ""могилёвской"", ""сельсовета"", ""беларусь"", ""республики""], ""id"": 7, ""wl_id"": ""86""}]"
2,"[{""wl"": [""джеймс"", ""объектов"", ""ранее"", ""назывался"", ""несколькими"", ""чего""], ""id"": 7, ""wl_id"": ""87""}]"
2,"[{""wl"": [""президента"", ""совет"", ""сельский"", ""совета"", ""украины"", ""включает""], ""id"": 7, ""wl_id"": ""88""}]"
4,"[{""wl"": [""народ"", ""иван"", ""род"", ""дворянский"", ""значительный"", ""русский""], ""id"": 7, ""wl_id"": ""89""}]"
4,"[{""wl"": [""уровнем"", ""метров"", ""моря"", ""над"", ""сельского"", ""высоте""], ""id"": 7, ""wl_id"": ""90""}]"
1,"[{""wl"": [""фр"", ""марокко"", ""р"", ""group"", ""de"", ""дж""], ""id"": 7, ""wl_id"": ""91""}]"
2,"[{""wl"": [""строительство"", ""руководитель"", ""библиотека"", ""руководство"", ""империя"", ""начаться""], ""id"": 7, ""wl_id"": ""92""}]"
2,"[{""wl"": [""генеральный"", ""грузия"", ""согласно"", ""министр"", ""епархия"", ""семь""], ""id"": 7, ""wl_id"": ""93""}]"
3,"[{""wl"": [""штат"", ""округе"", ""сша"", ""дж"", ""переписи"", ""американский""], ""id"": 7, ""wl_id"": ""94""}]"
4,"[{""wl"": [""российский"", ""ссср"", ""деятель"", ""государственный"", ""проект"", ""советский""], ""id"": 7, ""wl_id"": ""95""}]"
1,"[{""wl"": [""длина"", ""компания"", ""род"", ""описание"", ""растение"", ""семейство""], ""id"": 7, ""wl_id"": ""96""}]"
1,"[{""wl"": [""глава"", ""манга"", ""буква"", ""первая"", ""третий"", ""администрация""], ""id"": 7, ""wl_id"": ""97""}]"
4,"[{""wl"": [""сп"", ""класса"", ""весом"", ""десятилетия"", ""шахта"", ""нельзя""], ""id"": 7, ""wl_id"": ""98""}]"
2,"[{""wl"": [""волна"", ""следовать"", ""генри"", ""условие"", ""похожий"", ""благодаря""], ""id"": 7, ""wl_id"": ""99""}]"
3,"[{""wl"": [""момент"", ""средство"", ""элемент"", ""называться"", ""данный"", ""множество""], ""id"": 7, ""wl_id"": ""100""}]"
5,"[{""wl"": [""империя"", ""китайский"", ""период"", ""группа"", ""итальянский"", ""ранний""], ""id"": 7, ""wl_id"": ""101""}]"
4,"[{""wl"": [""сша"", ""перепись"", ""география"", ""штат"", ""важный"", ""американский""], ""id"": 7, ""wl_id"": ""102""}]"
3,"[{""wl"": [""церкви"", ""актриса"", ""кино"", ""польше"", ""гмина"", ""театра""], ""id"": 7, ""wl_id"": ""103""}]"
2,"[{""wl"": [""ссср"", ""лауреат"", ""ни"", ""им"", ""премии"", ""культуры""], ""id"": 7, ""wl_id"": ""104""}]"
0,"[{""wl"": [""без"", ""полный"", ""основатель"", ""называть"", ""выдающийся"", ""литература""], ""id"": 7, ""wl_id"": ""105""}]"
5,"[{""wl"": [""сын"", ""i"", ""всех"", ""ii"", ""де"", ""смерти""], ""id"": 7, ""wl_id"": ""106""}]"
4,"[{""wl"": [""династии"", ""веке"", ""н"", ""э"", ""компания"", ""века""], ""id"": 7, ""wl_id"": ""107""}]"
3,"[{""wl"": [""крупный"", ""сибирь"", ""рассматриваться"", ""and"", ""здание"", ""присутствовать""], ""id"": 7, ""wl_id"": ""108""}]"
4,"[{""wl"": [""футболист"", ""выступать"", ""начать"", ""клуб"", ""разработать"", ""карьера""], ""id"": 7, ""wl_id"": ""109""}]"
5,"[{""wl"": [""озеро"", ""гора"", ""горы"", ""м"", ""озера"", ""семей""], ""id"": 7, ""wl_id"": ""110""}]"
2,"[{""wl"": [""век"", ""национальный"", ""армия"", ""буква"", ""конец"", ""парк""], ""id"": 7, ""wl_id"": ""111""}]"
2,"[{""wl"": [""зона"", ""переход"", ""собака"", ""перейти"", ""специальный"", ""решить""], ""id"": 7, ""wl_id"": ""112""}]"
2,"[{""wl"": [""король"", ""сын"", ""соединение"", ""мать"", ""отец"", ""брат""], ""id"": 7, ""wl_id"": ""113""}]"
5,"[{""wl"": [""излучения"", ""псковской"", ""group"", ""media"", ""акции"", ""четыре""], ""id"": 7, ""wl_id"": ""114""}]"
3,"[{""wl"": [""гражданский"", ""далее"", ""объект"", ""каждый"", ""международный"", ""аэропорт""], ""id"": 7, ""wl_id"": ""115""}]"
0,"[{""wl"": [""сельский"", ""вода"", ""вещество"", ""химический"", ""белый"", ""кислота""], ""id"": 7, ""wl_id"": ""116""}]"
1,"[{""wl"": [""звезда"", ""латинский"", ""мужчина"", ""слово"", ""около"", ""характеристика""], ""id"": 7, ""wl_id"": ""117""}]"
0,"[{""wl"": [""австрии"", ""федеральной"", ""округа"", ""ситуация"", ""дж"", ""политическая""], ""id"": 7, ""wl_id"": ""118""}]"
1,"[{""wl"": [""комиссии"", ""ни"", ""крупная"", ""правила"", ""агломерация"", ""месторождение""], ""id"": 7, ""wl_id"": ""119""}]"
4,"[{""wl"": [""полное"", ""чемпион"", ""тем"", ""большинство"", ""ибн"", ""без""], ""id"": 7, ""wl_id"": ""120""}]"
1,"[{""wl"": [""каждый"", ""база"", ""разработать"", ""завод"", ""машина"", ""все""], ""id"": 7, ""wl_id"": ""121""}]"
0,"[{""wl"": [""прошлое"", ""торговля"", ""природный"", ""оценка"", ""финансовый"", ""делиться""], ""id"": 7, ""wl_id"": ""122""}]"
0,"[{""wl"": [""1990-х"", ""другом"", ""начал"", ""оружия"", ""вера"", ""крупного""], ""id"": 7, ""wl_id"": ""123""}]"
5,"[{""wl"": [""иран"", ""турция"", ""известность"", ""турецкий"", ""произойти"", ""система""], ""id"": 7, ""wl_id"": ""124""}]"
2,"[{""wl"": [""правительство"", ""политик"", ""израиль"", ""министр"", ""проект"", ""хозяйство""], ""id"": 7, ""wl_id"": ""125""}]"
0,"[{""wl"": [""башкортостана"", ""штат"", ""края"", ""край"", ""согласно"", ""относится""], ""id"": 7, ""wl_id"": ""126""}]"
4,"[{""wl"": [""ссср"", ""род"", ""российский"", ""юге"", ""деятель"", ""советский""], ""id"": 7, ""wl_id"": ""127""}]"
0,"[{""wl"": [""поскольку"", ""монголия"", ""альфред"", ""внутренний"", ""характер"", ""учение""], ""id"": 7, ""wl_id"": ""128""}]"
2,"[{""wl"": [""менее"", ""организация"", ""из-за"", ""многочисленный"", ""перевод"", ""уже""], ""id"": 7, ""wl_id"": ""129""}]"
1,"[{""wl"": [""статус"", ""тысяч"", ""российской"", ""происхождения"", ""границы"", ""федерации""], ""id"": 7, ""wl_id"": ""130""}]"
3,"[{""wl"": [""группы"", ""дорога"", ""средней"", ""строительство"", ""мире"", ""месторождение""], ""id"": 7, ""wl_id"": ""131""}]"
1,"[{""wl"": [""участников"", ""описывает"", ""студент"", ""действия"", ""список"", ""события""], ""id"": 7, ""wl_id"": ""132""}]"
2,"[{""wl"": [""образ"", ""жизнь"", ""чтобы"", ""должный"", ""транспорт"", ""плотность""], ""id"": 7, ""wl_id"": ""133""}]"
3,"[{""wl"": [""протекать"", ""длина"", ""руководитель"", ""реестр"", ""берег"", ""водный""], ""id"": 7, ""wl_id"": ""134""}]"
1,"[{""wl"": [""создано"", ""масло"", ""классификации"", ""тогда"", ""заказу"", ""малого""], ""id"": 7, ""wl_id"": ""135""}]"
0,"[{""wl"": [""москва"", ""остров"", ""юг"", ""озеро"", ""восток"", ""север""], ""id"": 7, ""wl_id"": ""136""}]"
0,"[{""wl"": [""наиболее"", ""актриса"", ""средней"", ""род"", ""роли"", ""благодаря""], ""id"": 7, ""wl_id"": ""137""}]"
3,"[{""wl"": [""ток"", ""сельский"", ""деревня"", ""примерно"", ""поселение"", ""московский""], ""id"": 7, ""wl_id"": ""138""}]"
5,"[{""wl"": [""улица"", ""далее"", ""культура"", ""москва"", ""переулок"", ""английский""], ""id"": 7, ""wl_id"": ""139""}]"
1,"[{""wl"": [""муниципалитет"", ""год)"", ""провинцию"", ""испании"", ""дж"", ""автономного""], ""id"": 7, ""wl_id"": ""140""}]"
0,"[{""wl"": [""дипломатический"", ""говорить"", ""перейти"", ""всё"", ""остальной"", ""постоянно""], ""id"": 7, ""wl_id"": ""141""}]"
1,"[{""wl"": [""международной"", ""михайлович"", ""исследования"", ""сельского"", ""артур"", ""момента""], ""id"": 7, ""wl_id"": ""142""}]"
2,"[{""wl"": [""журнал"", ""газета"", ""момент"", ""означать"", ""медицинский"", ""популярный""], ""id"": 7, ""wl_id"": ""143""}]"
4,"[{""wl"": [""между"", ""пять"", ""отношение"", ""установить"", ""стокгольм"", ""источник""], ""id"": 7, ""wl_id"": ""144""}]"
0,"[{""wl"": [""следующий"", ""университет"", ""термин"", ""использоваться"", ""обозначение"", ""значение""], ""id"": 7, ""wl_id"": ""145""}]"
0,"[{""wl"": [""перепись"", ""армянский"", ""код"", ""украина"", ""сельский"", ""совет""], ""id"": 7, ""wl_id"": ""146""}]"
1,"[{""wl"": [""италия"", ""августа"", ""руководством"", ""итальянский"", ""серии"", ""всероссийской""], ""id"": 7, ""wl_id"": ""147""}]"
4,"[{""wl"": [""акции"", ""альбома"", ""группы"", ""альбом"", ""the"", ""об""], ""id"": 7, ""wl_id"": ""148""}]"
5,"[{""wl"": [""хлеб"", ""исследования"", ""доме"", ""отдельное"", ""двойной"", ""никола""], ""id"": 7, ""wl_id"": ""149""}]"
0,"[{""wl"": [""наталья"", ""классификации"", ""главным"", ""образом"", ""класса"", ""белок""], ""id"": 7, ""wl_id"": ""150""}]"
2,"[{""wl"": [""крепость"", ""азербайджанский"", ""проводиться"", ""армянский"", ""азербайджан"", ""армения""], ""id"": 7, ""wl_id"": ""151""}]"
2,"[{""wl"": [""свойства"", ""соединение"", ""бельгии"", ""род"", ""кристаллы"", ""образует""], ""id"": 7, ""wl_id"": ""152""}]"
4,"[{""wl"": [""против"", ""восстания"", ""народа"", ""империи"", ""малого"", ""османской""], ""id"": 7, ""wl_id"": ""153""}]"
4,"[{""wl"": [""церковь"", ""святой"", ""коммуна"", ""православный"", ""мария"", ""монастырь""], ""id"": 7, ""wl_id"": ""154""}]"
3,"[{""wl"": [""волость"", ""волости"", ""деревни"", ""индекс"", ""псковской"", ""деревня""], ""id"": 7, ""wl_id"": ""155""}]"
5,"[{""wl"": [""культура"", ""данной"", ""среднего"", ""раннего"", ""объекты"", ""польша""], ""id"": 7, ""wl_id"": ""156""}]"
2,"[{""wl"": [""различные"", ""основателем"", ""германия"", ""самого"", ""считается"", ""основания""], ""id"": 7, ""wl_id"": ""157""}]"
0,"[{""wl"": [""де"", ""париж"", ""через"", ""французский"", ""франция"", ""выдающийся""], ""id"": 7, ""wl_id"": ""158""}]"
1,"[{""wl"": [""джон"", ""около"", ""графство"", ""великобритания"", ""британский"", ""английский""], ""id"": 7, ""wl_id"": ""159""}]"
1,"[{""wl"": [""сайта"", ""льва"", ""сторон"", ""всех"", ""поселения"", ""македония""], ""id"": 7, ""wl_id"": ""160""}]"
0,"[{""wl"": [""греческий"", ""искусство"", ""жить"", ""современный"", ""сельсовет"", ""художник""], ""id"": 7, ""wl_id"": ""161""}]"
4,"[{""wl"": [""ток"", ""вагон"", ""поезд"", ""постоянный"", ""алгоритм"", ""исторический""], ""id"": 7, ""wl_id"": ""162""}]"
1,"[{""wl"": [""нор"", ""белок"", ""судно"", ""судна"", ""построено"", ""пригород""], ""id"": 7, ""wl_id"": ""163""}]"
3,"[{""wl"": [""использование"", ""географический"", ""тип"", ""япония"", ""положение"", ""посёлок""], ""id"": 7, ""wl_id"": ""164""}]"
1,"[{""wl"": [""термин"", ""полное"", ""означать"", ""многозначный"", ""объекты"", ""значения""], ""id"": 7, ""wl_id"": ""165""}]"
5,"[{""wl"": [""серия"", ""компания"", ""сельский"", ""создать"", ""проект"", ""игра""], ""id"": 7, ""wl_id"": ""166""}]"
4,"[{""wl"": [""муниципальный"", ""поселение"", ""республика"", ""образование"", ""поезд"", ""сельский""], ""id"": 7, ""wl_id"": ""167""}]"
3,"[{""wl"": [""турнир"", ""профессиональный"", ""проводиться"", ""открытый"", ""дворянский"", ""свет""], ""id"": 7, ""wl_id"": ""168""}]"
1,"[{""wl"": [""функции"", ""монголии"", ""играет"", ""относятся"", ""доме"", ""роль""], ""id"": 7, ""wl_id"": ""169""}]"
1,"[{""wl"": [""средний"", ""север"", ""пакистан"", ""безопасность"", ""индия"", ""индийский""], ""id"": 7, ""wl_id"": ""170""}]"
5,"[{""wl"": [""метр"", ""высота"", ""склон"", ""хребет"", ""гора"", ""др""], ""id"": 7, ""wl_id"": ""171""}]"
0,"[{""wl"": [""из-за"", ""крепость"", ""замок"", ""многие"", ""кристаллы"", ""израильский""], ""id"": 7, ""wl_id"": ""172""}]"
0,"[{""wl"": [""друг"", ""дело"", ""источник"", ""материал"", ""суд"", ""банк""], ""id"": 7, ""wl_id"": ""173""}]"
4,"[{""wl"": [""различный"", ""страна"", ""государство"", ""дипломатический"", ""лесной"", ""столица""], ""id"": 7, ""wl_id"": ""174""}]"
0,"[{""wl"": [""миннесота"", ""жизнь"", ""древний"", ""эра"", ""наш"", ""марк""], ""id"": 7, ""wl_id"": ""175""}]"
3,"[{""wl"": [""версии"", ""компанией"", ""игра"", ""качестве"", ""игры"", ""происходит""], ""id"": 7, ""wl_id"": ""176""}]"
4,"[{""wl"": [""городского"", ""ссылки"", ""русских"", ""словакия"", ""обсерватория"", ""активно""], ""id"": 7, ""wl_id"": ""177""}]"
0,"[{""wl"": [""затем"", ""партия"", ""община"", ""болгария"", ""движение"", ""политический""], ""id"": 7, ""wl_id"": ""178""}]"
1,"[{""wl"": [""магазин"", ""кроме"", ""парламент"", ""буквально"", ""отделение"", ""известность""], ""id"": 7, ""wl_id"": ""179""}]"
5,"[{""wl"": [""горы"", ""село"", ""провинция"", ""политическая"", ""общину"", ""болгарии""], ""id"": 7, ""wl_id"": ""180""}]"
1,"[{""wl"": [""фотограф"", ""фонд"", ""фотоаппарат"", ""существование"", ""модификация"", ""фотография""], ""id"": 7, ""wl_id"": ""181""}]"
2,"[{""wl"": [""востоке"", ""юге"", ""заказу"", ""севере"", ""языке"", ""западе""], ""id"": 7, ""wl_id"": ""182""}]"
3,"[{""wl"": [""герой"", ""армии"", ""войны"", ""могилёвской"", ""участник"", ""великой""], ""id"": 7, ""wl_id"": ""183""}]"
2,"[{""wl"": [""принятие"", ""стокгольм"", ""без"", ""простой"", ""шведский"", ""прямой""], ""id"": 7, ""wl_id"": ""184""}]"
0,"[{""wl"": [""принятие"", ""почти"", ""чем"", ""бедный"", ""край"", ""домашний""], ""id"": 7, ""wl_id"": ""185""}]"
1,"[{""wl"": [""единица"", ""уезд"", ""компания"", ""крупнейший"", ""создать"", ""волость""], ""id"": 7, ""wl_id"": ""186""}]"
2,"[{""wl"": [""принадлежит"", ""класс"", ""станции"", ""средний"", ""женщины"", ""бельгии""], ""id"": 7, ""wl_id"": ""187""}]"
5,"[{""wl"": [""земле"", ""коммуна"", ""официальный"", ""германии"", ""согласные"", ""года)""], ""id"": 7, ""wl_id"": ""188""}]"
