var_arrays
"[{""wl"": [""три"", ""описание"", ""польша"", ""швеция"", ""польский"", ""сторона""], ""id"": 7, ""wl_id"": ""0""}]"
"[{""wl"": [""футболист"", ""выступать"", ""начать"", ""клуб"", ""разработать"", ""карьера""], ""id"": 7, ""wl_id"": ""109""}]"
"[{""wl"": [""озеро"", ""гора"", ""горы"", ""м"", ""озера"", ""семей""], ""id"": 7, ""wl_id"": ""110""}]"
"[{""wl"": [""век"", ""национальный"", ""армия"", ""буква"", ""конец"", ""парк""], ""id"": 7, ""wl_id"": ""111""}]"
"[{""wl"": [""зона"", ""переход"", ""собака"", ""перейти"", ""специальный"", ""решить""], ""id"": 7, ""wl_id"": ""112""}]"
"[{""wl"": [""король"", ""сын"", ""соединение"", ""мать"", ""отец"", ""брат""], ""id"": 7, ""wl_id"": ""113""}]"
"[{""wl"": [""излучения"", ""псковской"", ""group"", ""media"", ""акции"", ""четыре""], ""id"": 7, ""wl_id"": ""114""}]"
"[{""wl"": [""гражданский"", ""далее"", ""объект"", ""каждый"", ""международный"", ""аэропорт""], ""id"": 7, ""wl_id"": ""115""}]"
"[{""wl"": [""сельский"", ""вода"", ""вещество"", ""химический"", ""белый"", ""кислота""], ""id"": 7, ""wl_id"": ""116""}]"
"[{""wl"": [""звезда"", ""латинский"", ""мужчина"", ""слово"", ""около"", ""характеристика""], ""id"": 7, ""wl_id"": ""117""}]"
"[{""wl"": [""австрии"", ""федеральной"", ""округа"", ""ситуация"", ""дж"", ""политическая""], ""id"": 7, ""wl_id"": ""118""}]"
"[{""wl"": [""комиссии"", ""ни"", ""крупная"", ""правила"", ""агломерация"", ""месторождение""], ""id"": 7, ""wl_id"": ""119""}]"
"[{""wl"": [""полное"", ""чемпион"", ""тем"", ""большинство"", ""ибн"", ""без""], ""id"": 7, ""wl_id"": ""120""}]"
"[{""wl"": [""каждый"", ""база"", ""разработать"", ""завод"", ""машина"", ""все""], ""id"": 7, ""wl_id"": ""121""}]"
"[{""wl"": [""прошлое"", ""торговля"", ""природный"", ""оценка"", ""финансовый"", ""делиться""], ""id"": 7, ""wl_id"": ""122""}]"
"[{""wl"": [""1990-х"", ""другом"", ""начал"", ""оружия"", ""вера"", ""крупного""], ""id"": 7, ""wl_id"": ""123""}]"
"[{""wl"": [""иран"", ""турция"", ""известность"", ""турецкий"", ""произойти"", ""система""], ""id"": 7, ""wl_id"": ""124""}]"
"[{""wl"": [""правительство"", ""политик"", ""израиль"", ""министр"", ""проект"", ""хозяйство""], ""id"": 7, ""wl_id"": ""125""}]"
"[{""wl"": [""башкортостана"", ""штат"", ""края"", ""край"", ""согласно"", ""относится""], ""id"": 7, ""wl_id"": ""126""}]"
"[{""wl"": [""ссср"", ""род"", ""российский"", ""юге"", ""деятель"", ""советский""], ""id"": 7, ""wl_id"": ""127""}]"
"[{""wl"": [""поскольку"", ""монголия"", ""альфред"", ""внутренний"", ""характер"", ""учение""], ""id"": 7, ""wl_id"": ""128""}]"
"[{""wl"": [""менее"", ""организация"", ""из-за"", ""многочисленный"", ""перевод"", ""уже""], ""id"": 7, ""wl_id"": ""129""}]"
"[{""wl"": [""статус"", ""тысяч"", ""российской"", ""происхождения"", ""границы"", ""федерации""], ""id"": 7, ""wl_id"": ""130""}]"
"[{""wl"": [""группы"", ""дорога"", ""средней"", ""строительство"", ""мире"", ""месторождение""], ""id"": 7, ""wl_id"": ""131""}]"
"[{""wl"": [""участников"", ""описывает"", ""студент"", ""действия"", ""список"", ""события""], ""id"": 7, ""wl_id"": ""132""}]"
"[{""wl"": [""образ"", ""жизнь"", ""чтобы"", ""должный"", ""транспорт"", ""плотность""], ""id"": 7, ""wl_id"": ""133""}]"
"[{""wl"": [""протекать"", ""длина"", ""руководитель"", ""реестр"", ""берег"", ""водный""], ""id"": 7, ""wl_id"": ""134""}]"
"[{""wl"": [""создано"", ""масло"", ""классификации"", ""тогда"", ""заказу"", ""малого""], ""id"": 7, ""wl_id"": ""135""}]"
"[{""wl"": [""москва"", ""остров"", ""юг"", ""озеро"", ""восток"", ""север""], ""id"": 7, ""wl_id"": ""136""}]"
"[{""wl"": [""наиболее"", ""актриса"", ""средней"", ""род"", ""роли"", ""благодаря""], ""id"": 7, ""wl_id"": ""137""}]"
"[{""wl"": [""ток"", ""сельский"", ""деревня"", ""примерно"", ""поселение"", ""московский""], ""id"": 7, ""wl_id"": ""138""}]"
"[{""wl"": [""улица"", ""далее"", ""культура"", ""москва"", ""переулок"", ""английский""], ""id"": 7, ""wl_id"": ""139""}]"
"[{""wl"": [""муниципалитет"", ""год)"", ""провинцию"", ""испании"", ""дж"", ""автономного""], ""id"": 7, ""wl_id"": ""140""}]"
"[{""wl"": [""дипломатический"", ""говорить"", ""перейти"", ""всё"", ""остальной"", ""постоянно""], ""id"": 7, ""wl_id"": ""141""}]"
"[{""wl"": [""международной"", ""михайлович"", ""исследования"", ""сельского"", ""артур"", ""момента""], ""id"": 7, ""wl_id"": ""142""}]"
"[{""wl"": [""журнал"", ""газета"", ""момент"", ""означать"", ""медицинский"", ""популярный""], ""id"": 7, ""wl_id"": ""143""}]"
"[{""wl"": [""между"", ""пять"", ""отношение"", ""установить"", ""стокгольм"", ""источник""], ""id"": 7, ""wl_id"": ""144""}]"
"[{""wl"": [""следующий"", ""университет"", ""термин"", ""использоваться"", ""обозначение"", ""значение""], ""id"": 7, ""wl_id"": ""145""}]"
"[{""wl"": [""перепись"", ""армянский"", ""код"", ""украина"", ""сельский"", ""совет""], ""id"": 7, ""wl_id"": ""146""}]"
"[{""wl"": [""италия"", ""августа"", ""руководством"", ""итальянский"", ""серии"", ""всероссийской""], ""id"": 7, ""wl_id"": ""147""}]"
"[{""wl"": [""акции"", ""альбома"", ""группы"", ""альбом"", ""the"", ""об""], ""id"": 7, ""wl_id"": ""148""}]"
"[{""wl"": [""хлеб"", ""исследования"", ""доме"", ""отдельное"", ""двойной"", ""никола""], ""id"": 7, ""wl_id"": ""149""}]"
"[{""wl"": [""наталья"", ""классификации"", ""главным"", ""образом"", ""класса"", ""белок""], ""id"": 7, ""wl_id"": ""150""}]"
"[{""wl"": [""крепость"", ""азербайджанский"", ""проводиться"", ""армянский"", ""азербайджан"", ""армения""], ""id"": 7, ""wl_id"": ""151""}]"
"[{""wl"": [""свойства"", ""соединение"", ""бельгии"", ""род"", ""кристаллы"", ""образует""], ""id"": 7, ""wl_id"": ""152""}]"
"[{""wl"": [""против"", ""восстания"", ""народа"", ""империи"", ""малого"", ""османской""], ""id"": 7, ""wl_id"": ""153""}]"
"[{""wl"": [""церковь"", ""святой"", ""коммуна"", ""православный"", ""мария"", ""монастырь""], ""id"": 7, ""wl_id"": ""154""}]"
"[{""wl"": [""волость"", ""волости"", ""деревни"", ""индекс"", ""псковской"", ""деревня""], ""id"": 7, ""wl_id"": ""155""}]"
"[{""wl"": [""культура"", ""данной"", ""среднего"", ""раннего"", ""объекты"", ""польша""], ""id"": 7, ""wl_id"": ""156""}]"
"[{""wl"": [""различные"", ""основателем"", ""германия"", ""самого"", ""считается"", ""основания""], ""id"": 7, ""wl_id"": ""157""}]"
"[{""wl"": [""де"", ""париж"", ""через"", ""французский"", ""франция"", ""выдающийся""], ""id"": 7, ""wl_id"": ""158""}]"
"[{""wl"": [""джон"", ""около"", ""графство"", ""великобритания"", ""британский"", ""английский""], ""id"": 7, ""wl_id"": ""159""}]"
"[{""wl"": [""сайта"", ""льва"", ""сторон"", ""всех"", ""поселения"", ""македония""], ""id"": 7, ""wl_id"": ""160""}]"
"[{""wl"": [""греческий"", ""искусство"", ""жить"", ""современный"", ""сельсовет"", ""художник""], ""id"": 7, ""wl_id"": ""161""}]"
"[{""wl"": [""ток"", ""вагон"", ""поезд"", ""постоянный"", ""алгоритм"", ""исторический""], ""id"": 7, ""wl_id"": ""162""}]"
"[{""wl"": [""нор"", ""белок"", ""судно"", ""судна"", ""построено"", ""пригород""], ""id"": 7, ""wl_id"": ""163""}]"
"[{""wl"": [""использование"", ""географический"", ""тип"", ""япония"", ""положение"", ""посёлок""], ""id"": 7, ""wl_id"": ""164""}]"
"[{""wl"": [""термин"", ""полное"", ""означать"", ""многозначный"", ""объекты"", ""значения""], ""id"": 7, ""wl_id"": ""165""}]"
"[{""wl"": [""серия"", ""компания"", ""сельский"", ""создать"", ""проект"", ""игра""], ""id"": 7, ""wl_id"": ""166""}]"
"[{""wl"": [""муниципальный"", ""поселение"", ""республика"", ""образование"", ""поезд"", ""сельский""], ""id"": 7, ""wl_id"": ""167""}]"
"[{""wl"": [""турнир"", ""профессиональный"", ""проводиться"", ""открытый"", ""дворянский"", ""свет""], ""id"": 7, ""wl_id"": ""168""}]"
"[{""wl"": [""функции"", ""монголии"", ""играет"", ""относятся"", ""доме"", ""роль""], ""id"": 7, ""wl_id"": ""169""}]"
"[{""wl"": [""средний"", ""север"", ""пакистан"", ""безопасность"", ""индия"", ""индийский""], ""id"": 7, ""wl_id"": ""170""}]"
"[{""wl"": [""метр"", ""высота"", ""склон"", ""хребет"", ""гора"", ""др""], ""id"": 7, ""wl_id"": ""171""}]"
"[{""wl"": [""из-за"", ""крепость"", ""замок"", ""многие"", ""кристаллы"", ""израильский""], ""id"": 7, ""wl_id"": ""172""}]"
"[{""wl"": [""друг"", ""дело"", ""источник"", ""материал"", ""суд"", ""банк""], ""id"": 7, ""wl_id"": ""173""}]"
"[{""wl"": [""различный"", ""страна"", ""государство"", ""дипломатический"", ""лесной"", ""столица""], ""id"": 7, ""wl_id"": ""174""}]"
"[{""wl"": [""миннесота"", ""жизнь"", ""древний"", ""эра"", ""наш"", ""марк""], ""id"": 7, ""wl_id"": ""175""}]"
"[{""wl"": [""версии"", ""компанией"", ""игра"", ""качестве"", ""игры"", ""происходит""], ""id"": 7, ""wl_id"": ""176""}]"
"[{""wl"": [""городского"", ""ссылки"", ""русских"", ""словакия"", ""обсерватория"", ""активно""], ""id"": 7, ""wl_id"": ""177""}]"
"[{""wl"": [""затем"", ""партия"", ""община"", ""болгария"", ""движение"", ""политический""], ""id"": 7, ""wl_id"": ""178""}]"
"[{""wl"": [""магазин"", ""кроме"", ""парламент"", ""буквально"", ""отделение"", ""известность""], ""id"": 7, ""wl_id"": ""179""}]"
"[{""wl"": [""горы"", ""село"", ""провинция"", ""политическая"", ""общину"", ""болгарии""], ""id"": 7, ""wl_id"": ""180""}]"
"[{""wl"": [""фотограф"", ""фонд"", ""фотоаппарат"", ""существование"", ""модификация"", ""фотография""], ""id"": 7, ""wl_id"": ""181""}]"
"[{""wl"": [""востоке"", ""юге"", ""заказу"", ""севере"", ""языке"", ""западе""], ""id"": 7, ""wl_id"": ""182""}]"
"[{""wl"": [""герой"", ""армии"", ""войны"", ""могилёвской"", ""участник"", ""великой""], ""id"": 7, ""wl_id"": ""183""}]"
"[{""wl"": [""принятие"", ""стокгольм"", ""без"", ""простой"", ""шведский"", ""прямой""], ""id"": 7, ""wl_id"": ""184""}]"
"[{""wl"": [""принятие"", ""почти"", ""чем"", ""бедный"", ""край"", ""домашний""], ""id"": 7, ""wl_id"": ""185""}]"
"[{""wl"": [""единица"", ""уезд"", ""компания"", ""крупнейший"", ""создать"", ""волость""], ""id"": 7, ""wl_id"": ""186""}]"
"[{""wl"": [""принадлежит"", ""класс"", ""станции"", ""средний"", ""женщины"", ""бельгии""], ""id"": 7, ""wl_id"": ""187""}]"
"[{""wl"": [""земле"", ""коммуна"", ""официальный"", ""германии"", ""согласные"", ""года)""], ""id"": 7, ""wl_id"": ""188""}]"
"[{""wl"": [""префектуре"", ""сергей"", ""мать"", ""сп"", ""ним"", ""японии""], ""id"": 7, ""wl_id"": ""189""}]"
"[{""wl"": [""земля"", ""код"", ""единственный"", ""департамент"", ""официальный"", ""коммуна""], ""id"": 7, ""wl_id"": ""190""}]"
"[{""wl"": [""конца"", ""советский"", ""назад"", ""существования"", ""период"", ""появились""], ""id"": 7, ""wl_id"": ""191""}]"
"[{""wl"": [""индии"", ""главных"", ""частности"", ""архитектуры"", ""одноимённого"", ""основе""], ""id"": 7, ""wl_id"": ""192""}]"
