var_arrays
"[{""wl"": [""политический"", ""движение"", ""община"", ""югославия"", ""болгарский"", ""результат""], ""id"": 5, ""wl_id"": ""0""}]"
"[{""wl"": [""штат"", ""бразилия"", ""американский"", ""основать"", ""сша"", ""испания""], ""id"": 5, ""wl_id"": ""66""}]"
"[{""wl"": [""уезд"", ""c"", ""династия"", ""специальный"", ""китай"", ""китайский""], ""id"": 5, ""wl_id"": ""67""}]"
"[{""wl"": [""земли"", ""часов"", ""назван"", ""востоке"", ""честь"", ""минут""], ""id"": 5, ""wl_id"": ""68""}]"
"[{""wl"": [""партии"", ""правительства"", ""организации"", ""карл"", ""президента"", ""права""], ""id"": 5, ""wl_id"": ""69""}]"
"[{""wl"": [""здания"", ""церкви"", ""века"", ""дом"", ""улица"", ""здание""], ""id"": 5, ""wl_id"": ""70""}]"
"[{""wl"": [""индекс"", ""плотность"", ""шведский"", ""итальянский"", ""почтовый"", ""италия""], ""id"": 5, ""wl_id"": ""71""}]"
"[{""wl"": [""топливо"", ""авария"", ""некоторый"", ""подача"", ""составление"", ""реактор""], ""id"": 5, ""wl_id"": ""72""}]"
"[{""wl"": [""православной"", ""епархия"", ""русской"", ""кл"", ""епархии"", ""церкви""], ""id"": 5, ""wl_id"": ""73""}]"
"[{""wl"": [""банк"", ""аэропорт"", ""рынок"", ""стена"", ""компания"", ""миллион""], ""id"": 5, ""wl_id"": ""74""}]"
"[{""wl"": [""шведский"", ""пункт"", ""нидерланды"", ""норвегия"", ""швеция"", ""карл""], ""id"": 5, ""wl_id"": ""75""}]"
"[{""wl"": [""средств"", ""японской"", ""считается"", ""японии"", ""японский"", ""посёлок""], ""id"": 5, ""wl_id"": ""76""}]"
"[{""wl"": [""железный"", ""станция"", ""железнодорожный"", ""линия"", ""сибирский"", ""дорога""], ""id"": 5, ""wl_id"": ""77""}]"
"[{""wl"": [""уже"", ""войны"", ""культуры"", ""все"", ""против"", ""ещё""], ""id"": 5, ""wl_id"": ""78""}]"
"[{""wl"": [""растение"", ""семейство"", ""сантиметр"", ""дочь"", ""длина"", ""род""], ""id"": 5, ""wl_id"": ""79""}]"
"[{""wl"": [""час"", ""аппарат"", ""ракета"", ""космический"", ""дон"", ""воздушный""], ""id"": 5, ""wl_id"": ""80""}]"
"[{""wl"": [""малый"", ""кристаллы"", ""воды"", ""свойства"", ""соединение"", ""кислоты""], ""id"": 5, ""wl_id"": ""81""}]"
"[{""wl"": [""значение"", ""мужской"", ""метод"", ""система"", ""функция"", ""если""], ""id"": 5, ""wl_id"": ""82""}]"
"[{""wl"": [""мужской"", ""мужчина"", ""женщина"", ""уровень"", ""женский"", ""доход""], ""id"": 5, ""wl_id"": ""83""}]"
"[{""wl"": [""болгарии"", ""войны"", ""мэр"", ""общины"", ""результатам"", ""выборов""], ""id"": 5, ""wl_id"": ""84""}]"
"[{""wl"": [""плотность"", ""провинции"", ""италии"", ""востоке"", ""почтовый"", ""индекс""], ""id"": 5, ""wl_id"": ""85""}]"
"[{""wl"": [""построить"", ""судно"", ""строительство"", ""улица"", ""дом"", ""здание""], ""id"": 5, ""wl_id"": ""86""}]"
"[{""wl"": [""научный"", ""наука"", ""книга"", ""университет"", ""институт"", ""профессор""], ""id"": 5, ""wl_id"": ""87""}]"
"[{""wl"": [""индия"", ""индийский"", ""арабский"", ""памятник"", ""страна"", ""религиозный""], ""id"": 5, ""wl_id"": ""88""}]"
"[{""wl"": [""положение"", ""выборы"", ""относиться"", ""согласно"", ""башкортостан"", ""географический""], ""id"": 5, ""wl_id"": ""89""}]"
"[{""wl"": [""линии"", ""сюжетов"", ""железной"", ""станция"", ""дороги"", ""станции""], ""id"": 5, ""wl_id"": ""90""}]"
"[{""wl"": [""муниципальный"", ""сельский"", ""образование"", ""поселение"", ""кантон"", ""сельсовет""], ""id"": 5, ""wl_id"": ""91""}]"
"[{""wl"": [""америка"", ""великобритания"", ""сша"", ""канада"", ""британский"", ""земля""], ""id"": 5, ""wl_id"": ""92""}]"
"[{""wl"": [""все"", ""чтобы"", ""него"", ""монет"", ""ему"", ""я""], ""id"": 5, ""wl_id"": ""93""}]"
"[{""wl"": [""кантоне"", ""швейцарии"", ""округа"", ""нем"", ""сока"", ""кантон""], ""id"": 5, ""wl_id"": ""94""}]"
"[{""wl"": [""фестиваль"", ""сайт"", ""канал"", ""уже"", ""программа"", ""конкурс""], ""id"": 5, ""wl_id"": ""95""}]"
"[{""wl"": [""венгрии"", ""красных"", ""освещение"", ""мэр"", ""освещения"", ""света""], ""id"": 5, ""wl_id"": ""96""}]"
"[{""wl"": [""точное"", ""церкви"", ""архангельском"", ""энергетикой"", ""обозначенных"", ""механизированные""], ""id"": 5, ""wl_id"": ""97""}]"
"[{""wl"": [""местный"", ""код"", ""совет"", ""украина"", ""вещество"", ""украинский""], ""id"": 5, ""wl_id"": ""98""}]"
"[{""wl"": [""губерния"", ""уезд"", ""китайский"", ""волость"", ""двор"", ""деревня""], ""id"": 5, ""wl_id"": ""99""}]"
"[{""wl"": [""точки"", ""завода"", ""предприятия"", ""завод"", ""производство"", ""производства""], ""id"": 5, ""wl_id"": ""100""}]"
"[{""wl"": [""права"", ""театра"", ""роль"", ""фильм"", ""кино"", ""фильме""], ""id"": 5, ""wl_id"": ""101""}]"
"[{""wl"": [""взрыва"", ""объектов"", ""бомбы"", ""электроэнергии"", ""дикое"", ""взрыв""], ""id"": 5, ""wl_id"": ""102""}]"
"[{""wl"": [""польский"", ""германия"", ""официальный"", ""года)"", ""земля"", ""коммуна""], ""id"": 5, ""wl_id"": ""103""}]"
"[{""wl"": [""год)"", ""испании"", ""стражи"", ""муниципалитет"", ""де"", ""сообщества""], ""id"": 5, ""wl_id"": ""104""}]"
"[{""wl"": [""хозяйства"", ""культур"", ""зерна"", ""языка"", ""сельскохозяйственного"", ""растений""], ""id"": 5, ""wl_id"": ""105""}]"
"[{""wl"": [""кл"", ""завода"", ""обозначающее"", ""юри"", ""старики"", ""изд""], ""id"": 5, ""wl_id"": ""106""}]"
"[{""wl"": [""проекции"", ""азии"", ""будущим"", ""языков"", ""азиатских"", ""хор""], ""id"": 5, ""wl_id"": ""107""}]"
"[{""wl"": [""варшава"", ""свойство"", ""кислота"", ""химический"", ""температура"", ""вещество""], ""id"": 5, ""wl_id"": ""108""}]"
"[{""wl"": [""чемпионате"", ""олимпийских"", ""ему"", ""европы"", ""игр"", ""мира""], ""id"": 5, ""wl_id"": ""109""}]"
"[{""wl"": [""i"", ""ii"", ""н"", ""века"", ""норвегии"", ""э""], ""id"": 5, ""wl_id"": ""110""}]"
"[{""wl"": [""предприятие"", ""промышленность"", ""энергия"", ""завод"", ""строительство"", ""производство""], ""id"": 5, ""wl_id"": ""111""}]"
"[{""wl"": [""польша"", ""ян"", ""когда"", ""варшава"", ""польский"", ""единица""], ""id"": 5, ""wl_id"": ""112""}]"
"[{""wl"": [""альбом"", ""коммуны"", ""альбома"", ""the"", ""группа"", ""группы""], ""id"": 5, ""wl_id"": ""113""}]"
"[{""wl"": [""c"", ""пункт"", ""кристалл"", ""a"", ""чарльз"", ""населённых""], ""id"": 5, ""wl_id"": ""114""}]"
"[{""wl"": [""пять"", ""три"", ""рука"", ""трёх"", ""каждый"", ""четыре""], ""id"": 5, ""wl_id"": ""115""}]"
"[{""wl"": [""установка"", ""система"", ""тип"", ""положение"", ""устройство"", ""конструкция""], ""id"": 5, ""wl_id"": ""116""}]"
"[{""wl"": [""одиннадцать"", ""составителей"", ""кино"", ""развитый"", ""евгении"", ""гибких""], ""id"": 5, ""wl_id"": ""117""}]"
"[{""wl"": [""называть"", ""новосибирский"", ""означать"", ""обозначение"", ""термин"", ""обозначать""], ""id"": 5, ""wl_id"": ""118""}]"
"[{""wl"": [""скорость"", ""тело"", ""движение"", ""энергия"", ""владимир"", ""поле""], ""id"": 5, ""wl_id"": ""119""}]"
"[{""wl"": [""часто"", ""генри"", ""некоторый"", ""обычно"", ""например"", ""более""], ""id"": 5, ""wl_id"": ""120""}]"
"[{""wl"": [""кратер"", ""высота"", ""м"", ""малого"", ""озеро"", ""озера""], ""id"": 5, ""wl_id"": ""121""}]"
"[{""wl"": [""окончил"", ""академии"", ""ссср"", ""значения"", ""университета"", ""наук""], ""id"": 5, ""wl_id"": ""122""}]"
"[{""wl"": [""шахты"", ""саги"", ""угольной"", ""пыли"", ""шахта"", ""уголь""], ""id"": 5, ""wl_id"": ""123""}]"
"[{""wl"": [""депутат"", ""президент"", ""выборы"", ""должность"", ""партия"", ""мнение""], ""id"": 5, ""wl_id"": ""124""}]"
"[{""wl"": [""альманаха"", ""медной"", ""пу"", ""образование"", ""сюжетов"", ""деревянным""], ""id"": 5, ""wl_id"": ""125""}]"
"[{""wl"": [""год)"", ""муниципалитет"", ""перепись"", ""провинция"", ""династия"", ""автономный""], ""id"": 5, ""wl_id"": ""126""}]"
"[{""wl"": [""оркестра"", ""мм"", ""типа"", ""испытаний"", ""испытания"", ""серии""], ""id"": 5, ""wl_id"": ""127""}]"
"[{""wl"": [""волос"", ""охота"", ""собака"", ""курорт"", ""a"", ""хозяин""], ""id"": 5, ""wl_id"": ""128""}]"
"[{""wl"": [""вошедшая"", ""мечей"", ""ибн"", ""стрелки"", ""кругом"", ""мечи""], ""id"": 5, ""wl_id"": ""129""}]"
"[{""wl"": [""матч"", ""карьера"", ""сезон"", ""волость"", ""команда"", ""клуб""], ""id"": 5, ""wl_id"": ""130""}]"
"[{""wl"": [""испания"", ""аргентина"", ""три"", ""де"", ""la"", ""de""], ""id"": 5, ""wl_id"": ""131""}]"
"[{""wl"": [""клуб"", ""обычно"", ""например"", ""чем"", ""если"", ""можно""], ""id"": 5, ""wl_id"": ""132""}]"
"[{""wl"": [""главный"", ""сюжет"", ""роль"", ""персонаж"", ""фильм"", ""марка""], ""id"": 5, ""wl_id"": ""133""}]"
"[{""wl"": [""армения"", ""г"", ""грузия"", ""республика"", ""турция"", ""армянский""], ""id"": 5, ""wl_id"": ""134""}]"
"[{""wl"": [""кости"", ""датской"", ""иностранные"", ""родственном"", ""датская"", ""испаноязычных""], ""id"": 5, ""wl_id"": ""135""}]"
"[{""wl"": [""семья"", ""средний"", ""организация"", ""перепись"", ""доход"", ""проживать""], ""id"": 5, ""wl_id"": ""136""}]"
"[{""wl"": [""давида"", ""пива"", ""грузинский"", ""грузии"", ""тбилиси"", ""монет""], ""id"": 5, ""wl_id"": ""137""}]"
"[{""wl"": [""израиля"", ""армении"", ""ибн"", ""али"", ""азиатских"", ""турции""], ""id"": 5, ""wl_id"": ""138""}]"
"[{""wl"": [""д"", ""том"", ""п"", ""е"", ""марк"", ""гигантский""], ""id"": 5, ""wl_id"": ""139""}]"
"[{""wl"": [""писатель"", ""журнал"", ""книга"", ""автор"", ""топливо"", ""роман""], ""id"": 5, ""wl_id"": ""140""}]"
"[{""wl"": [""функции"", ""если"", ""теории"", ""носители"", ""зрения"", ""точки""], ""id"": 5, ""wl_id"": ""141""}]"
"[{""wl"": [""клуб"", ""против"", ""моря"", ""сборной"", ""матче"", ""клуба""], ""id"": 5, ""wl_id"": ""142""}]"
"[{""wl"": [""речной"", ""реестра"", ""данным"", ""японской"", ""длина"", ""водного""], ""id"": 5, ""wl_id"": ""143""}]"
"[{""wl"": [""оборот"", ""school"", ""средств"", ""запрет"", ""кругом"", ""веществ""], ""id"": 5, ""wl_id"": ""144""}]"
"[{""wl"": [""полка"", ""армии"", ""дивизии"", ""отечественной"", ""войны"", ""запрет""], ""id"": 5, ""wl_id"": ""145""}]"
"[{""wl"": [""новосибирский"", ""сибирский"", ""плита"", ""томский"", ""провинция"", ""сибирь""], ""id"": 5, ""wl_id"": ""146""}]"
"[{""wl"": [""жизни"", ""наук"", ""согласно"", ""об"", ""века"", ""все""], ""id"": 5, ""wl_id"": ""147""}]"
"[{""wl"": [""развивающийся"", ""потенциальный"", ""приставка"", ""если"", ""переходная"", ""молоке""], ""id"": 5, ""wl_id"": ""148""}]"
"[{""wl"": [""деревне"", ""жителей"", ""деревня"", ""волости"", ""фон"", ""деревни""], ""id"": 5, ""wl_id"": ""149""}]"
"[{""wl"": [""проявите"", ""напоминавшими"", ""захотите"", ""фон"", ""вечернему"", ""отдающего""], ""id"": 5, ""wl_id"": ""150""}]"
"[{""wl"": [""цикла"", ""али"", ""императоров"", ""саги"", ""календаря"", ""цикле""], ""id"": 5, ""wl_id"": ""151""}]"
"[{""wl"": [""села"", ""село"", ""данным"", ""сельского"", ""участников"", ""переписи""], ""id"": 5, ""wl_id"": ""152""}]"
"[{""wl"": [""машина"", ""серия"", ""модель"", ""побережье"", ""марка"", ""автомобиль""], ""id"": 5, ""wl_id"": ""153""}]"
"[{""wl"": [""металл"", ""производство"", ""медь"", ""префектура"", ""присутствовать"", ""сталь""], ""id"": 5, ""wl_id"": ""154""}]"
"[{""wl"": [""японского"", ""конец"", ""провинции"", ""европейского"", ""список"", ""эры""], ""id"": 5, ""wl_id"": ""155""}]"
"[{""wl"": [""московский"", ""сын"", ""российский"", ""москва"", ""александр"", ""владимир""], ""id"": 5, ""wl_id"": ""156""}]"
"[{""wl"": [""понятиям"", ""доля"", ""малого"", ""меньше"", ""малый"", ""общего""], ""id"": 5, ""wl_id"": ""157""}]"
"[{""wl"": [""класса"", ""знак"", ""букв"", ""буквы"", ""класс"", ""оранжевой""], ""id"": 5, ""wl_id"": ""158""}]"
"[{""wl"": [""генри"", ""альберт"", ""дон"", ""чарльз"", ""энергия"", ""уильям""], ""id"": 5, ""wl_id"": ""159""}]"
"[{""wl"": [""финский"", ""литовский"", ""выставка"", ""литва"", ""финляндия"", ""белорусский""], ""id"": 5, ""wl_id"": ""160""}]"
"[{""wl"": [""пять"", ""семь"", ""три"", ""шесть"", ""восемь"", ""давида""], ""id"": 5, ""wl_id"": ""161""}]"
"[{""wl"": [""барьера"", ""учащимся"", ""трещина"", ""системы"", ""барьером"", ""выводом""], ""id"": 5, ""wl_id"": ""162""}]"
"[{""wl"": [""игры"", ""века"", ""кости"", ""животных"", ""назад"", ""культуры""], ""id"": 5, ""wl_id"": ""163""}]"
"[{""wl"": [""экологический"", ""президентского"", ""дождя"", ""испанская"", ""цикла"", ""изучающая""], ""id"": 5, ""wl_id"": ""164""}]"
"[{""wl"": [""хлеба"", ""хлеб"", ""география"", ""теста"", ""предложения"", ""муки""], ""id"": 5, ""wl_id"": ""165""}]"
"[{""wl"": [""группы"", ""д"", ""т"", ""р"", ""течение"", ""п""], ""id"": 5, ""wl_id"": ""166""}]"
"[{""wl"": [""природа"", ""гигантский"", ""дикий"", ""мэри"", ""индийский"", ""лев""], ""id"": 5, ""wl_id"": ""167""}]"
"[{""wl"": [""театр"", ""роль"", ""композитор"", ""музыка"", ""я"", ""музыкальный""], ""id"": 5, ""wl_id"": ""168""}]"
"[{""wl"": [""коммуна"", ""коммуны"", ""департамент"", ""тыс"", ""франции"", ""неактивными""], ""id"": 5, ""wl_id"": ""169""}]"
"[{""wl"": [""литвы"", ""волость"", ""латвии"", ""края"", ""пожарных"", ""край""], ""id"": 5, ""wl_id"": ""170""}]"
"[{""wl"": [""назвать"", ""астероид"", ""планета"", ""честь"", ""автономный"", ""звезда""], ""id"": 5, ""wl_id"": ""171""}]"
"[{""wl"": [""переписи"", ""старше"", ""средний"", ""значения"", ""родственном"", ""женщин""], ""id"": 5, ""wl_id"": ""172""}]"
"[{""wl"": [""клеток"", ""клетки"", ""мозга"", ""животных"", ""животных"", ""днк""], ""id"": 5, ""wl_id"": ""173""}]"
"[{""wl"": [""артур"", ""системы"", ""фону"", ""алексом"", ""дикое"", ""объединяющая""], ""id"": 5, ""wl_id"": ""174""}]"
"[{""wl"": [""святого"", ""франции"", ""церкви"", ""монастырь"", ""столичном"", ""де""], ""id"": 5, ""wl_id"": ""175""}]"
"[{""wl"": [""дороги"", ""немецкая"", ""фамилия"", ""носители"", ""русская"", ""французская""], ""id"": 5, ""wl_id"": ""176""}]"
"[{""wl"": [""фронт"", ""художественный"", ""война"", ""отечественный"", ""орден"", ""советский""], ""id"": 5, ""wl_id"": ""177""}]"
"[{""wl"": [""версии"", ""масла"", ""журнал"", ""объектов"", ""августа"", ""участников""], ""id"": 5, ""wl_id"": ""178""}]"
"[{""wl"": [""казахстан"", ""республики"", ""парка"", ""республике"", ""белоруссии"", ""беларусь""], ""id"": 5, ""wl_id"": ""179""}]"
"[{""wl"": [""дании"", ""шведский"", ""швеции"", ""финляндии"", ""оборот"", ""норвегии""], ""id"": 5, ""wl_id"": ""180""}]"
"[{""wl"": [""уровнем"", ""моря"", ""высоте"", ""над"", ""софья"", ""метров""], ""id"": 5, ""wl_id"": ""181""}]"
"[{""wl"": [""использовать"", ""майкл"", ""версия"", ""система"", ""программа"", ""игра""], ""id"": 5, ""wl_id"": ""182""}]"
"[{""wl"": [""африка"", ""еврейский"", ""израиль"", ""ибн"", ""египет"", ""положение""], ""id"": 5, ""wl_id"": ""183""}]"
"[{""wl"": [""побережье"", ""государственный"", ""остров"", ""море"", ""греческий"", ""греция""], ""id"": 5, ""wl_id"": ""184""}]"
"[{""wl"": [""начальник"", ""вооружение"", ""полк"", ""армия"", ""война"", ""военный""], ""id"": 5, ""wl_id"": ""185""}]"
"[{""wl"": [""востоке"", ""юге"", ""западе"", ""севере"", ""география"", ""компании""], ""id"": 5, ""wl_id"": ""186""}]"
"[{""wl"": [""сербии"", ""оркестра"", ""борис"", ""фестиваля"", ""радио"", ""т""], ""id"": 5, ""wl_id"": ""187""}]"
"[{""wl"": [""посёлок"", ""житель"", ""дом"", ""школа"", ""берег"", ""хозяйство""], ""id"": 5, ""wl_id"": ""188""}]"
"[{""wl"": [""означать"", ""красный"", ""символ"", ""одежда"", ""знак"", ""носить""], ""id"": 5, ""wl_id"": ""189""}]"
"[{""wl"": [""род"", ""рода"", ""иван"", ""сын"", ""малый"", ""князя""], ""id"": 5, ""wl_id"": ""190""}]"
"[{""wl"": [""католический"", ""церковь"", ""епископ"", ""святой"", ""советский"", ""собор""], ""id"": 5, ""wl_id"": ""191""}]"
"[{""wl"": [""логика"", ""операция"", ""немецкий"", ""фон"", ""георг"", ""мы""], ""id"": 5, ""wl_id"": ""192""}]"
"[{""wl"": [""длина"", ""софья"", ""роликов"", ""виктором"", ""стражи"", ""колец""], ""id"": 5, ""wl_id"": ""193""}]"
