var_arrays
"[{""wl"": [""компания"", ""сеть"", ""проект"", ""род"", ""система"", ""программа""], ""id"": 4, ""wl_id"": ""0""}]"
"[{""wl"": [""партия"", ""корабль"", ""правительство"", ""организация"", ""право"", ""страна""], ""id"": 4, ""wl_id"": ""25""}]"
"[{""wl"": [""метр"", ""жизнь"", ""когда"", ""я"", ""сам"", ""чтобы""], ""id"": 4, ""wl_id"": ""26""}]"
"[{""wl"": [""семейство"", ""карьера"", ""команда"", ""матч"", ""клуб"", ""сезон""], ""id"": 4, ""wl_id"": ""27""}]"
"[{""wl"": [""двигатель"", ""олимпийский"", ""игра"", ""мир"", ""турнир"", ""чемпионат""], ""id"": 4, ""wl_id"": ""28""}]"
"[{""wl"": [""язык"", ""искусство"", ""книга"", ""произведение"", ""художник"", ""мужчина""], ""id"": 4, ""wl_id"": ""29""}]"
"[{""wl"": [""например"", ""система"", ""значение"", ""использоваться"", ""армия"", ""язык""], ""id"": 4, ""wl_id"": ""30""}]"
"[{""wl"": [""искусство"", ""двигатель"", ""машина"", ""корабль"", ""завод"", ""система""], ""id"": 4, ""wl_id"": ""31""}]"
"[{""wl"": [""сам"", ""реестр"", ""муниципалитет"", ""водный"", ""речной"", ""бассейн""], ""id"": 4, ""wl_id"": ""32""}]"
"[{""wl"": [""сша"", ""коммуны"", ""плотность"", ""италии"", ""штат"", ""чел./км²""], ""id"": 4, ""wl_id"": ""33""}]"
"[{""wl"": [""сельского"", ""деревня"", ""франции"", ""село"", ""поселение"", ""поселения""], ""id"": 4, ""wl_id"": ""34""}]"
"[{""wl"": [""клетка"", ""бассейн"", ""применение"", ""лечение"", ""вещество"", ""действие""], ""id"": 4, ""wl_id"": ""35""}]"
"[{""wl"": [""поселения"", ""род"", ""семейства"", ""см"", ""описание"", ""рода""], ""id"": 4, ""wl_id"": ""36""}]"
"[{""wl"": [""востоке"", ""кратер"", ""провинции"", ""южной"", ""северной"", ""страны""], ""id"": 4, ""wl_id"": ""37""}]"
"[{""wl"": [""университет"", ""институт"", ""российский"", ""ссср"", ""реестр"", ""г""], ""id"": 4, ""wl_id"": ""38""}]"
"[{""wl"": [""метр"", ""водный"", ""культура"", ""здание"", ""около"", ""гора""], ""id"": 4, ""wl_id"": ""39""}]"
