var_arrays
"[{""wl"": [""издание"", ""издания"", ""созданный"", ""средства"", ""выходит"", ""журнал""], ""id"": 3, ""wl_id"": ""0""}]"
"[{""wl"": [""т"", ""монастырь"", ""церкви"", ""епископ"", ""русской"", ""церковь""], ""id"": 3, ""wl_id"": ""69""}]"
"[{""wl"": [""современный"", ""источник"", ""направление"", ""сила"", ""высокий"", ""свет""], ""id"": 3, ""wl_id"": ""70""}]"
"[{""wl"": [""мартин"", ""связи"", ""средств"", ""обеспечения"", ""президента"", ""деятельности""], ""id"": 3, ""wl_id"": ""71""}]"
"[{""wl"": [""харьковский"", ""соответственно"", ""бой"", ""чемпионка"", ""равный"", ""вес""], ""id"": 3, ""wl_id"": ""72""}]"
"[{""wl"": [""немецкий"", ""мировой"", ""война"", ""команда"", ""второй"", ""станция""], ""id"": 3, ""wl_id"": ""73""}]"
"[{""wl"": [""прочий"", ""попасть"", ""разделение"", ""ночной"", ""чувашский"", ""компания""], ""id"": 3, ""wl_id"": ""74""}]"
"[{""wl"": [""включён"", ""ниже"", ""правления"", ""вместо"", ""японского"", ""различные""], ""id"": 3, ""wl_id"": ""75""}]"
"[{""wl"": [""военный"", ""политик"", ""деятель"", ""государственный"", ""председатель"", ""деятельности""], ""id"": 3, ""wl_id"": ""76""}]"
"[{""wl"": [""китай"", ""валентин"", ""средневековый"", ""техника"", ""преобразование"", ""георгиевич""], ""id"": 3, ""wl_id"": ""77""}]"
"[{""wl"": [""являются"", ""знак"", ""основными"", ""деревни"", ""зданий"", ""польских""], ""id"": 3, ""wl_id"": ""78""}]"
"[{""wl"": [""станция"", ""станции"", ""на"", ""улица"", ""с"", ""линии""], ""id"": 3, ""wl_id"": ""79""}]"
"[{""wl"": [""дворянский"", ""род"", ""женщина"", ""конец"", ""век"", ""польский""], ""id"": 3, ""wl_id"": ""80""}]"
"[{""wl"": [""или"", ""деревни"", ""поселения"", ""сельского"", ""района"", ""деревня""], ""id"": 3, ""wl_id"": ""81""}]"
"[{""wl"": [""транспортный"", ""шведский"", ""событие"", ""автомобиль"", ""погост"", ""новгородский""], ""id"": 3, ""wl_id"": ""82""}]"
"[{""wl"": [""живописи"", ""эпохи"", ""искусств"", ""художник"", ""италии"", ""испанский""], ""id"": 3, ""wl_id"": ""83""}]"
"[{""wl"": [""культуры"", ""школы"", ""альбом"", ""имени"", ""школа"", ""окончания""], ""id"": 3, ""wl_id"": ""84""}]"
"[{""wl"": [""ни"", ""друг"", ""пора"", ""конечный"", ""живёт"", ""посёлке""], ""id"": 3, ""wl_id"": ""85""}]"
"[{""wl"": [""книга"", ""из"", ""великобритания"", ""и"", ""автор"", ""один""], ""id"": 3, ""wl_id"": ""86""}]"
"[{""wl"": [""новосибирский"", ""университет"", ""астероид"", ""школа"", ""высший"", ""образование""], ""id"": 3, ""wl_id"": ""87""}]"
"[{""wl"": [""американский"", ""живой"", ""узел"", ""способный"", ""появляться"", ""природа""], ""id"": 3, ""wl_id"": ""88""}]"
"[{""wl"": [""метров"", ""доктор"", ""медицинских"", ""врач"", ""здравоохранения"", ""медицины""], ""id"": 3, ""wl_id"": ""89""}]"
"[{""wl"": [""образование"", ""поселения"", ""сельсовет"", ""сельское"", ""поселение"", ""земле""], ""id"": 3, ""wl_id"": ""90""}]"
"[{""wl"": [""транспортный"", ""военный"", ""фон"", ""полный"", ""служба"", ""орден""], ""id"": 3, ""wl_id"": ""91""}]"
"[{""wl"": [""быть"", ""его"", ""язык"", ""он"", ""из"", ""сын""], ""id"": 3, ""wl_id"": ""92""}]"
"[{""wl"": [""владелец"", ""и"", ""система"", ""для"", ""с"", ""игра""], ""id"": 3, ""wl_id"": ""93""}]"
"[{""wl"": [""не"", ""практически"", ""даже"", ""попытка"", ""древний"", ""особый""], ""id"": 3, ""wl_id"": ""94""}]"
"[{""wl"": [""выходить"", ""передача"", ""сообщение"", ""канал"", ""связь"", ""британский""], ""id"": 3, ""wl_id"": ""95""}]"
"[{""wl"": [""веках"", ""женщина"", ""быстро"", ""среднюю"", ""контроля"", ""никогда""], ""id"": 3, ""wl_id"": ""96""}]"
"[{""wl"": [""грузия"", ""георгий"", ""как"", ""грузинский"", ""живёт"", ""давид""], ""id"": 3, ""wl_id"": ""97""}]"
"[{""wl"": [""предполагаться"", ""редакция"", ""индивидуальный"", ""описывать"", ""деньги"", ""ко""], ""id"": 3, ""wl_id"": ""98""}]"
"[{""wl"": [""ранний"", ""княжество"", ""тема"", ""речь"", ""великий"", ""литовский""], ""id"": 3, ""wl_id"": ""99""}]"
"[{""wl"": [""во"", ""время"", ""руки"", ""первой"", ""был"", ""войны""], ""id"": 3, ""wl_id"": ""100""}]"
"[{""wl"": [""относительно"", ""низкий"", ""несмотреть"", ""предприятие"", ""владение"", ""выхой""], ""id"": 3, ""wl_id"": ""101""}]"
"[{""wl"": [""с"", ""персонаж"", ""воде"", ""и"", ""при"", ""или""], ""id"": 3, ""wl_id"": ""102""}]"
"[{""wl"": [""сср"", ""поверхности"", ""ссср"", ""года"", ""род"", ""родилась""], ""id"": 3, ""wl_id"": ""103""}]"
"[{""wl"": [""года"", ""дня"", ""общий"", ""со"", ""финского"", ""популярность""], ""id"": 3, ""wl_id"": ""104""}]"
"[{""wl"": [""воинов"", ""успехов"", ""узбекистана"", ""семейства"", ""лесных"", ""установлен""], ""id"": 3, ""wl_id"": ""105""}]"
"[{""wl"": [""рабочей"", ""норвежский"", ""композиции"", ""отряд"", ""русских"", ""советский""], ""id"": 3, ""wl_id"": ""106""}]"
"[{""wl"": [""британский"", ""джон"", ""режим"", ""великобритания"", ""лауреат"", ""премия""], ""id"": 3, ""wl_id"": ""107""}]"
"[{""wl"": [""гора"", ""парк"", ""на"", ""национальный"", ""горный"", ""биография""], ""id"": 3, ""wl_id"": ""108""}]"
"[{""wl"": [""российский"", ""кристаллы"", ""наук"", ""советский"", ""профессор"", ""окончил""], ""id"": 3, ""wl_id"": ""109""}]"
"[{""wl"": [""проживают"", ""включён"", ""состояния"", ""то"", ""демография"", ""вода""], ""id"": 3, ""wl_id"": ""110""}]"
"[{""wl"": [""картина"", ""владелец"", ""неорганический"", ""свойство"", ""ван"", ""художник""], ""id"": 3, ""wl_id"": ""111""}]"
"[{""wl"": [""мира"", ""за"", ""чем"", ""карьера"", ""года"", ""футболист""], ""id"": 3, ""wl_id"": ""112""}]"
"[{""wl"": [""км²"", ""медицинских"", ""площадь"", ""озеро"", ""парк"", ""озера""], ""id"": 3, ""wl_id"": ""113""}]"
"[{""wl"": [""хабаровский"", ""болото"", ""означать"", ""математик"", ""искусственный"", ""создатель""], ""id"": 3, ""wl_id"": ""114""}]"
"[{""wl"": [""советский"", ""разновидность"", ""виде"", ""поверхности"", ""воды"", ""материалов""], ""id"": 3, ""wl_id"": ""115""}]"
"[{""wl"": [""герой"", ""верхней"", ""года"", ""биография"", ""родился"", ""советский""], ""id"": 3, ""wl_id"": ""116""}]"
"[{""wl"": [""родился"", ""писатель"", ""де"", ""средняя"", ""биография"", ""семье""], ""id"": 3, ""wl_id"": ""117""}]"
"[{""wl"": [""сооружения"", ""семьи"", ""отдельные"", ""регионах"", ""верхней"", ""длинные""], ""id"": 3, ""wl_id"": ""118""}]"
"[{""wl"": [""училища"", ""общий"", ""описывает"", ""выпускник"", ""список"", ""автомобилей""], ""id"": 3, ""wl_id"": ""119""}]"
"[{""wl"": [""в"", ""входит"", ""составе"", ""муниципалитет"", ""население"", ""описывает""], ""id"": 3, ""wl_id"": ""120""}]"
"[{""wl"": [""цель"", ""метр"", ""научный"", ""работа"", ""международный"", ""организация""], ""id"": 3, ""wl_id"": ""121""}]"
"[{""wl"": [""культура"", ""шести"", ""философия"", ""сербский"", ""возраст"", ""дитя""], ""id"": 3, ""wl_id"": ""122""}]"
"[{""wl"": [""ними"", ""диаметром"", ""военное"", ""перед"", ""появление"", ""задача""], ""id"": 3, ""wl_id"": ""123""}]"
"[{""wl"": [""футболист"", ""карьера"", ""который"", ""год"", ""клуб"", ""выступать""], ""id"": 3, ""wl_id"": ""124""}]"
"[{""wl"": [""залив"", ""побережье"", ""между"", ""отношение"", ""свойство"", ""полуостров""], ""id"": 3, ""wl_id"": ""125""}]"
"[{""wl"": [""масса"", ""физика"", ""частица"", ""школьный"", ""теория"", ""специалист""], ""id"": 3, ""wl_id"": ""126""}]"
"[{""wl"": [""год"", ""уэльс"", ""российский"", ""биография"", ""советский"", ""ссср""], ""id"": 3, ""wl_id"": ""127""}]"
"[{""wl"": [""делать"", ""крымский"", ""tv"", ""пустыня"", ""натуральный"", ""канал""], ""id"": 3, ""wl_id"": ""128""}]"
"[{""wl"": [""для"", ""книг"", ""перевозки"", ""кг"", ""оружия"", ""созданный""], ""id"": 3, ""wl_id"": ""129""}]"
"[{""wl"": [""фильм"", ""театр"", ""год"", ""пол"", ""сюжет"", ""и""], ""id"": 3, ""wl_id"": ""130""}]"
"[{""wl"": [""премьер-министр"", ""европейских"", ""лидер"", ""партии"", ""стран"", ""искусства""], ""id"": 3, ""wl_id"": ""131""}]"
"[{""wl"": [""актёр"", ""сюжет"", ""входит"", ""фильм"", ""американский"", ""года""], ""id"": 3, ""wl_id"": ""132""}]"
"[{""wl"": [""год"", ""и"", ""@card@"", ""новосибирский"", ""в"", ""на""], ""id"": 3, ""wl_id"": ""133""}]"
"[{""wl"": [""языков"", ""семьи"", ""язык"", ""языка"", ""штата"", ""против""], ""id"": 3, ""wl_id"": ""134""}]"
"[{""wl"": [""честь"", ""деятель"", ""открыть"", ""быть"", ""астероид"", ""назвать""], ""id"": 3, ""wl_id"": ""135""}]"
"[{""wl"": [""мария"", ""святой"", ""монастырь"", ""православный"", ""церковь"", ""чем""], ""id"": 3, ""wl_id"": ""136""}]"
"[{""wl"": [""училище"", ""древнейших"", ""версии"", ""военное"", ""поэта"", ""млн""], ""id"": 3, ""wl_id"": ""137""}]"
"[{""wl"": [""сезона"", ""астероид"", ""клубная"", ""чемпионате"", ""большого"", ""выступал""], ""id"": 3, ""wl_id"": ""138""}]"
"[{""wl"": [""рамках"", ""была"", ""проведения"", ""день"", ""проект"", ""международный""], ""id"": 3, ""wl_id"": ""139""}]"
"[{""wl"": [""характеристика"", ""цикл"", ""лев"", ""водохранилище"", ""живой"", ""харьковский""], ""id"": 3, ""wl_id"": ""140""}]"
"[{""wl"": [""можно"", ""посёлка"", ""дерево"", ""граничать"", ""префектура"", ""япония""], ""id"": 3, ""wl_id"": ""141""}]"
"[{""wl"": [""долгие"", ""честь"", ""оператора"", ""работать"", ""высшем"", ""ассистентом""], ""id"": 3, ""wl_id"": ""142""}]"
"[{""wl"": [""же"", ""там"", ""рим"", ""италия"", ""итальянский"", ""война""], ""id"": 3, ""wl_id"": ""143""}]"
"[{""wl"": [""коммуны"", ""коммуна"", ""дизайн"", ""код"", ""площадь"", ""население""], ""id"": 3, ""wl_id"": ""144""}]"
"[{""wl"": [""цвет"", ""получать"", ""красный"", ""белый"", ""сезон"", ""получение""], ""id"": 3, ""wl_id"": ""145""}]"
"[{""wl"": [""de"", ""лет"", ""народный"", ""уже"", ""возрасте"", ""назад""], ""id"": 3, ""wl_id"": ""146""}]"
"[{""wl"": [""месторождение"", ""тысяча"", ""период"", ""империя"", ""миллион"", ""организация""], ""id"": 3, ""wl_id"": ""147""}]"
"[{""wl"": [""альбом"", ""the"", ""группы"", ""студийный"", ""широкую"", ""альбома""], ""id"": 3, ""wl_id"": ""148""}]"
"[{""wl"": [""его"", ""ii"", ""до"", ""i"", ""н"", ""отдельные""], ""id"": 3, ""wl_id"": ""149""}]"
"[{""wl"": [""премий"", ""«за"", ""радио"", ""лауреат"", ""категории"", ""воинов""], ""id"": 3, ""wl_id"": ""150""}]"
"[{""wl"": [""австралийский"", ""виктория"", ""эрик"", ""японский"", ""жорж"", ""австралия""], ""id"": 3, ""wl_id"": ""151""}]"
"[{""wl"": [""ними"", ""другими"", ""очень"", ""что"", ""чем"", ""тем""], ""id"": 3, ""wl_id"": ""152""}]"
"[{""wl"": [""метод"", ""польский"", ""их"", ""исследование"", ""и"", ""комплекс""], ""id"": 3, ""wl_id"": ""153""}]"
"[{""wl"": [""писателя"", ""роман"", ""книг"", ""соединение"", ""зависимости"", ""нет""], ""id"": 3, ""wl_id"": ""154""}]"
"[{""wl"": [""филадельфия"", ""себя"", ""уолтер"", ""вальтер"", ""эквадор"", ""пенсильвание""], ""id"": 3, ""wl_id"": ""155""}]"
"[{""wl"": [""при"", ""организации"", ""или"", ""как"", ""и"", ""обычно""], ""id"": 3, ""wl_id"": ""156""}]"
"[{""wl"": [""вступил"", ""основное"", ""донецкой"", ""бразильский"", ""народной"", ""бразилия""], ""id"": 3, ""wl_id"": ""157""}]"
"[{""wl"": [""написать"", ""американский"", ""крестьянин"", ""наиболее"", ""сша"", ""известный""], ""id"": 3, ""wl_id"": ""158""}]"
"[{""wl"": [""огромный"", ""и"", ""интерес"", ""почва"", ""бедный"", ""эдуард""], ""id"": 3, ""wl_id"": ""159""}]"
"[{""wl"": [""режиссёром"", ""вино"", ""который"", ""рейн"", ""школьный"", ""выступить""], ""id"": 3, ""wl_id"": ""160""}]"
"[{""wl"": [""частиц"", ""материалы"", ""км²"", ""распространения"", ""землю"", ""древности""], ""id"": 3, ""wl_id"": ""161""}]"
"[{""wl"": [""астероид"", ""честь"", ""был"", ""открыт"", ""назван"", ""воинов""], ""id"": 3, ""wl_id"": ""162""}]"
"[{""wl"": [""нидерландский"", ""ян"", ""мировой"", ""площади"", ""ван"", ""творчество""], ""id"": 3, ""wl_id"": ""163""}]"
"[{""wl"": [""категория"", ""за"", ""лучший"", ""владелец"", ""момент"", ""поле""], ""id"": 3, ""wl_id"": ""164""}]"
"[{""wl"": [""от"", ""километр"", ""по"", ""берег"", ""россия"", ""река""], ""id"": 3, ""wl_id"": ""165""}]"
"[{""wl"": [""действие"", ""драма"", ""майкл"", ""зависимости"", ""фильме"", ""состоялась""], ""id"": 3, ""wl_id"": ""166""}]"
"[{""wl"": [""музыкальный"", ""представлять"", ""под"", ""инструмент"", ""себя"", ""классический""], ""id"": 3, ""wl_id"": ""167""}]"
"[{""wl"": [""государственный"", ""конкурс"", ""лицо"", ""орган"", ""дело"", ""министр""], ""id"": 3, ""wl_id"": ""168""}]"
"[{""wl"": [""предполагаться"", ""каменный"", ""можно"", ""рейн"", ""орудие"", ""артиллерийский""], ""id"": 3, ""wl_id"": ""169""}]"
"[{""wl"": [""поселения"", ""королевство"", ""италии"", ""итальянский"", ""италия"", ""версии""], ""id"": 3, ""wl_id"": ""170""}]"
"[{""wl"": [""азербайджан"", ""согласно"", ""крым"", ""село"", ""так"", ""республика""], ""id"": 3, ""wl_id"": ""171""}]"
"[{""wl"": [""станция"", ""родиться"", ""линия"", ""на"", ""от"", ""улица""], ""id"": 3, ""wl_id"": ""172""}]"
"[{""wl"": [""выделяют"", ""ткани"", ""в"", ""мехико"", ""детей"", ""пола""], ""id"": 3, ""wl_id"": ""173""}]"
"[{""wl"": [""альбома"", ""семейства"", ""вид"", ""род"", ""из"", ""описание""], ""id"": 3, ""wl_id"": ""174""}]"
"[{""wl"": [""с"", ""компанией"", ""системы"", ""и"", ""мира"", ""для""], ""id"": 3, ""wl_id"": ""175""}]"
"[{""wl"": [""комитет"", ""власть"", ""красноярский"", ""подчинение"", ""против"", ""администрация""], ""id"": 3, ""wl_id"": ""176""}]"
"[{""wl"": [""на"", ""начинаться"", ""праздник"", ""течение"", ""день"", ""событие""], ""id"": 3, ""wl_id"": ""177""}]"
"[{""wl"": [""была"", ""основана"", ""году"", ""рамках"", ""деятельность"", ""компании""], ""id"": 3, ""wl_id"": ""178""}]"
"[{""wl"": [""дома"", ""слов"", ""разные"", ""научное"", ""направление"", ""прямой""], ""id"": 3, ""wl_id"": ""179""}]"
"[{""wl"": [""станция"", ""общей"", ""взаимодействия"", ""чехословакии"", ""слабо"", ""контроля""], ""id"": 3, ""wl_id"": ""180""}]"
"[{""wl"": [""вв"", ""о"", ""годы"", ""развитие"", ""востока"", ""исследования""], ""id"": 3, ""wl_id"": ""181""}]"
"[{""wl"": [""составе"", ""технологий"", ""использование"", ""газеты"", ""федерального"", ""исследований""], ""id"": 3, ""wl_id"": ""182""}]"
"[{""wl"": [""входит"", ""в"", ""официальный"", ""поселения"", ""года)"", ""земле""], ""id"": 3, ""wl_id"": ""183""}]"
"[{""wl"": [""еврейский"", ""мадрид"", ""венгерский"", ""германский"", ""семья"", ""израиль""], ""id"": 3, ""wl_id"": ""184""}]"
"[{""wl"": [""века"", ""xx"", ""участка"", ""2-го"", ""начале"", ""советской""], ""id"": 3, ""wl_id"": ""185""}]"
"[{""wl"": [""или"", ""есть"", ""это"", ""то"", ""не"", ""контроля""], ""id"": 3, ""wl_id"": ""186""}]"
"[{""wl"": [""она"", ""мифологии"", ""персонаж"", ""научное"", ""дочь"", ""жена""], ""id"": 3, ""wl_id"": ""187""}]"
"[{""wl"": [""волость"", ""движение"", ""деятель"", ""должность"", ""общественный"", ""партия""], ""id"": 3, ""wl_id"": ""188""}]"
"[{""wl"": [""то"", ""который"", ""или"", ""как"", ""не"", ""и""], ""id"": 3, ""wl_id"": ""189""}]"
"[{""wl"": [""использоваться"", ""так"", ""или"", ""и"", ""производство"", ""для""], ""id"": 3, ""wl_id"": ""190""}]"
"[{""wl"": [""александра"", ""музыки"", ""мартин"", ""автор"", ""поэт"", ""искусства""], ""id"": 3, ""wl_id"": ""191""}]"
"[{""wl"": [""инженер"", ""государственный"", ""процесса"", ""институте"", ""рабочих"", ""московском""], ""id"": 3, ""wl_id"": ""192""}]"
"[{""wl"": [""отсутствовать"", ""постоянный"", ""цепь"", ""питание"", ""электрический"", ""то""], ""id"": 3, ""wl_id"": ""193""}]"
"[{""wl"": [""языке"", ""очень"", ""газета"", ""буква"", ""английском"", ""языках""], ""id"": 3, ""wl_id"": ""194""}]"
"[{""wl"": [""тип"", ""системе"", ""или"", ""устройство"", ""землю"", ""действия""], ""id"": 3, ""wl_id"": ""195""}]"
